"","Subcounty","Ward","Name of SACCO","Type","Reg.status","Reg.number","Number of wards covered","Name of wards covered","Background","Membership","Governance","PlanningCapacity","HumanResource","FinancialPerformance","Automation","TotalScore","Grade"
"125","KIKUYU","KARAI","Cryos cooperative saving and credit society limited","Employer Based SACCO","Registered","CS/ 7536",1,"KIKUYU",66.7,33.3,45.5,22.2,0,22.2,46.7,30.6,"C"
"126","KIKUYU","KARAI","Karai CDDC savings and credit co-operative society","Community Based SACCO","Registered","cs/28499",1,"KARAI",44.4,53.3,45.5,22.2,0,0,0,23.3,"D"
"127","KIKUYU","KARAI","Dagoretti/Karai coffee growers cooperative society LTD","Agri Based SACCO","Registered","CS/0153",1,"KARAI",38.9,26.7,39.4,0,0,0,40,19,"D"
"128","KIKUYU","KARAI","DAMATRAS savings and credit cooperative society limited","Transport SACCO","Registered","CS/26780",1,"KARAI",44.4,13.3,9.1,0,0,0,0,6.3,"D"
"129","KIAMBAA","KARURI","Joinas dts","Community Based SACCO","Registered","CS/9111",19,"KARURI CIANDA GITHUNGURI KABETE Kiambu TOWNSHIP KIHARA KIKUYU LIMURU CENTRAL LIMURU EAST MUCHATHA NDEIYA NDENDERU NDUMBERI NGECHA TIGONI NGEWA RIABAI SIGONA Thika TOWNSHIP TING'ANG'A",83.3,33.3,60.6,44.4,50,44.4,73.3,52.2,"B"
"130","KIAMBAA","KARURI","Joinas housing cooperative society","Other","Registered","CS/22103",4,"KARURI Kiambu TOWNSHIP MUCHATHA NDENDERU",77.8,33.3,53,55.6,83.3,22.2,40,48.7,"C"
"131","KIAMBAA","KARURI","Tuvu sacco","Agri Based SACCO","Registered","CS/27227",1,"KARURI",66.7,73.3,19.7,55.6,66.7,22.2,66.7,46.6,"C"
"132","KIAMBAA","KARURI","Pcea banana parish sacco","Faith Based SACCO","Registered","CS/19750",4,"CIANDA KARURI MUCHATHA NDENDERU",66.7,46.7,27.3,55.6,50,0,60,36.8,"C"
"133","KIAMBAA","KARURI","Bakaki Sacco","Transport SACCO","Registered","CS/12962",8,"KARURI CIANDA Kiambu TOWNSHIP LIMURU CENTRAL LIMURU EAST MUCHATHA NDENDERU NDUMBERI",66.7,20,48.5,44.4,33.3,0,53.3,33.2,"C"
"134","KIAMBAA","KARURI","Kiambaa coffee growers housing cooperative","Other","Registered","CS17563",3,"KARURI MUCHATHA NDENDERU",88.9,40,43.9,44.4,16.7,0,26.7,31.1,"C"
"135","KIAMBAA","KARURI","Karuri H Sacco","Transport SACCO","Registered","CS/19007",1,"KARURI",77.8,66.7,15.2,44.4,16.7,0,53.3,30.5,"C"
"136","KIAMBAA","KARURI","Bahima Sacco","Transport SACCO","Registered","CS/8337",2,"MUCHATHA NDENDERU",66.7,33.3,13.6,44.4,50,0,53.3,29.6,"C"
"137","KIAMBAA","KARURI","Unimax C Sacco","Transport SACCO","Registered","CS/19731",1,"KARURI",77.8,13.3,18.2,33.3,0,0,46.7,18.7,"D"
"138","KIAMBAA","KARURI","Karuri ward boda transport cooperative society limited","Transport SACCO","Registered","CS/26874",1,"KARURI",33.3,33.3,18.2,11.1,0,0,0,12.2,"D"
"139","KIAMBAA","KARURI","Kiambaa artisan cooperative society","Other","Registered","CS/27087",1,"KARURI",33.3,13.3,9.1,11.1,0,0,6.7,7.8,"D"
"140","GATUNDU SOUTH","KIAMWANGI","Kiamwangi community saving and credit","Other","Registered","Cs/29060",1,"KIAMWANGI",22.2,46.7,51.5,33.3,16.7,0,13.3,27.8,"C"
"141","GATUNDU SOUTH","KIGANJO","K.N.R.T SAVINGS AND CREDIT COOPERATIVE SOCIETY","Transport SACCO","Registered","CS/11525",2,"KIGANJO KIAMWANGI",55.6,26.7,42.4,22.2,50,22.2,53.3,36.5,"C"
"142","GATUNDU SOUTH","KIGANJO","KIGANJO THIRIRIKA COMMUNITY","Community Based SACCO","Registered","CS/29006",1,"KIGANJO",50,46.7,33.3,33.3,50,0,26.7,31.3,"C"
"143","GATUNDU SOUTH","KIGANJO","kiganjo youth sacco","Community Based SACCO","Proposed",NA,1,"KIGANJO",22.2,26.7,15.2,0,0,0,6.7,9.3,"D"
"144","KIAMBAA","KIHARA","ACK KIHARA PARISH SAVINGS ACCOUNTS AND CREDIT COOPERATIVES SOCIETY LIMITED","Community Based SACCO","Registered","CS/9780",1,"KIHARA",55.6,66.7,66.7,22.2,50,27.8,66.7,50.5,"B"
"145","KIAMBAA","KIHARA","KIHARA Youth SACCO","Community Based SACCO","Registered","CS/19008",1,"KIHARA",77.8,13.3,39.4,11.1,0,33.3,33.3,26.3,"C"
"146","KIAMBAA","KIHARA","MWANGAZA UNITERS SACCO LIMITED","Community Based SACCO","Registered","CS/29969",1,"KIHARA",55.6,46.7,15.2,11.1,0,0,20,16.6,"D"
"147","LARI","KIJABE","RIFT VALLEY ACADEMY WORKERS COOPERATIVE SAVINGS CREDIT  SOCIETY LIMITED","Employer Based SACCO","Registered","CS/4809",1,"KIJABE",44.4,33.3,60.6,33.3,16.7,61.1,73.3,47.2,"C"
"148","KIKUYU","KIKUYU","Biashara Community Sacco Society Limited","Agri Based SACCO","Registered","CS6749",24,"KABETE KIKUYU BIBIRIONI GITARU IKINU KARAI KARURI KIJABE KINOO LARI/KIRENGA LIMURU CENTRAL LIMURU EAST MUCHATHA MUGUGA NACHU NDEIYA NDENDERU NDUMBERI NGECHA TIGONI RIABAI SIGONA UTHIRU KIHARA NYADHUNA",72.2,80,84.8,66.7,66.7,66.7,80,74.5,"B"
"149","KIKUYU","KIKUYU","MUG-MUGUGA Sacco","Community Based SACCO","Registered","CS12429",15,"GITARU KABETE KARAI KIKUYU KINOO LIMURU CENTRAL LIMURU EAST MUGUGA NACHU NDEIYA NGECHA TIGONI SIGONA Thika TOWNSHIP UTHIRU GITHOBOKONI",61.1,60,84.8,33.3,66.7,50,66.7,62.2,"B"
"150","KIKUYU","KIKUYU","KIWALIRU SACCO","Transport SACCO","Registered","CS15462",10,"GITARU KARURI KIKUYU LIMURU CENTRAL LIMURU EAST MUGUGA NDENDERU NGECHA TIGONI SIGONA UTHIRU",66.7,40,81.8,33.3,16.7,61.1,66.7,53.5,"B"
"151","KIKUYU","KIKUYU","Asmac Sacco","Agri Based SACCO","Registered","CS13795",14,"GITARU KABETE KAHAWA WENDANI KARAI KARURI Kiambu TOWNSHIP KIKUYU KINOO MUGUGA NACHU NDEIYA NDENDERU SIGONA UTHIRU",61.1,46.7,69.7,44.4,16.7,61.1,46.7,50.8,"B"
"152","KIKUYU","KIKUYU","PCEA KIKUYU Sacco","Faith Based SACCO","Registered","CS22811",8,"GITARU KARAI KIKUYU KINOO MUGUGA NACHU SIGONA UTHIRU",77.8,53.3,60.6,33.3,16.7,61.1,46.7,49.2,"C"
"153","KIKUYU","KIKUYU","KITO SACCO","Community Based SACCO","Registered","CS7525",15,"GITARU GITHIGA KABETE KARAI Kiambu TOWNSHIP KIKUYU KINOO LIMURU CENTRAL LIMURU EAST MUGUGA NACHU NDEIYA SIGONA Thika TOWNSHIP UTHIRU",66.7,46.7,72.7,33.3,33.3,27.8,53.3,46.9,"C"
"154","KIKUYU","KIKUYU","Tabuga Sacco","Community Based SACCO","Registered","CS13806",1,"KIKUYU",55.6,40,75.8,22.2,0,55.6,66.7,46.6,"C"
"155","KIKUYU","KIKUYU","Kikuyu Youth Sacco","Community Based SACCO","Registered","CS12407",7,"GITARU KARAI KIKUYU KINOO NACHU SIGONA UTHIRU",55.6,46.7,69.7,22.2,50,33.3,26.7,45.3,"C"
"156","KIKUYU","KIKUYU","Alliance Sacco","Employer Based SACCO","Registered","CS2866",1,"KIKUYU",66.7,33.3,57.6,0,33.3,50,46.7,41.2,"C"
"157","KIKUYU","KIKUYU","Optico Sacco","Employer Based SACCO","Registered","CS7025",1,"KIKUYU",66.7,46.7,54.5,22.2,0,55.6,26.7,39.3,"C"
"158","KIKUYU","KIKUYU","Alligiwo Sacco","Employer Based SACCO","Registered","CS2923",1,"KIKUYU",66.7,26.7,51.5,22.2,16.7,33.3,46.7,35.7,"C"
"159","KIKUYU","KIKUYU","Siki Cohorts Savings and Credit Co-operative Society Limited","Community Based SACCO","Registered","CS/21815",2,"KINOO SIGONA",77.8,53.3,57.6,22.2,0,0,26.7,30.5,"C"
"160","KIKUYU","KIKUYU","DEC Sacco","Employer Based SACCO","Registered","CS29121",4,"KIKUYU LIMURU CENTRAL NDEIYA GITARU",55.6,33.3,39.4,22.2,0,16.7,73.3,30.2,"C"
"161","KIKUYU","KIKUYU","Zuka savings and credit cooperative society LTD","Community Based SACCO","Registered","CS/28800",1,"KIKUYU",55.6,46.7,36.4,33.3,0,0,53.3,27.5,"C"
"162","KIKUYU","KIKUYU","KAA-NASI savings and credit cooperative society LTD","Community Based SACCO","Registered","CS/19670",1,"KIKUYU",55.6,13.3,15.2,0,0,0,0,8.3,"D"
"163","LARI","KINALE","kaki Umoja saving and credit sacco","Agri Based SACCO","Registered","CS/29062",1,"KINALE",38.9,53.3,36.4,0,66.7,0,6.7,29,"C"
"164","KIKUYU","KINOO","PCEA Kinoo Parish Savings and Credit Co-operative Society Limited","Faith Based SACCO","Registered","CS/19402",3,"KINOO KIKUYU UTHIRU",77.8,60,66.7,33.3,16.7,55.6,66.7,52.5,"B"
"165","KIKUYU","KINOO","PCEA Rungiri Unity Savings and Credit Co-operative Society Limited","Faith Based SACCO","Registered","CS/15050",8,"GITARU KABETE KIHARA KIKUYU KINOO MUGUGA NDENDERU SIGONA",55.6,66.7,57.6,33.3,50,38.9,60,51.3,"B"
"166","KIKUYU","KINOO","Supreme Savings And Credit  Co-Operative Society Limited","Community Based SACCO","Registered","CS/29083",1,"KINOO",44.4,33.3,42.4,0,0,0,6.7,17.6,"D"
"167","RUIRU","KIUU","Lily Sacco Society limited","Other","Registered","CS/12138",2,"KIUU MWIHOKO",33.3,53.3,74.2,22.2,66.7,50,60,55.4,"B"
"168","RUIRU","KIUU","Covenant Ambassador Sacco Ltd","Faith Based SACCO","Registered","CS/25928",1,"KIUU",66.7,46.7,72.7,22.2,0,38.9,40,41.5,"C"
"169","RUIRU","KIUU","Utele sacco society limited","Faith Based SACCO","Registered","CS/15287",1,"KAHAWA WENDANI",55.6,13.3,48.5,22.2,0,22.2,66.7,29.7,"C"
"170","RUIRU","KIUU","Mukinyi PCEA Sacco Society limited","Faith Based SACCO","Registered","CS/11409",1,"KIUU",55.6,13.3,42.4,11.1,0,50,0,25.9,"C"
"171","GITHUNGURI","KOMOTHAI","Kibichoi Vision Sacco","Employer Based SACCO","Registered","Cs/19595",1,"KOMOTHAI",55.6,33.3,21.2,11.1,16.7,22.2,13.3,22.3,"D"
"172","KIAMBU","Kiambu TOWNSHIP","MARIDADY MOTORS SACCO LTD","Other","Registered","Cs/23087",1,"Kiambu TOWNSHIP",66.7,73.3,84.8,66.7,50,72.2,66.7,70.5,"B"
"173","KIAMBU","Kiambu TOWNSHIP","Christian Entrepreneurs Cooperative (Chess Sacco)","Community Based SACCO","Registered","CS/8223",46,"RIABAI CHANIA CIANDA GITARU GITHIGA GITHUNGURI IKINU JUJA KABETE KAHAWA SUKARI KAHAWA WENDANI KALIMONI KAMBURU KARAI KARURI Kiambu TOWNSHIP KIAMWANGI KIGANJO KIHARA KIJABE KIKUYU KINALE KINOO KIUU KOMOTHAI LARI/KIRENGA LIMURU CENTRAL LIMURU EAST MANG'U MUCHATHA MUGUGA MURERA MWIHOKO MWIKI NACHU NDEIYA NDENDERU NDUMBERI NGECHA TIGONI NGENDA NGEWA THETA Thika TOWNSHIP TING'ANG'A UTHIRU WITEITHIE",55.6,86.7,72.7,55.6,66.7,55.6,86.7,68.9,"B"
"174","KIAMBU","Kiambu TOWNSHIP","Dimkes deposit and taking","Faith Based SACCO","Registered","8721cs8721",17,"GITHUNGURI Kiambu TOWNSHIP KIKUYU LIMURU CENTRAL NDUMBERI MUCHATHA KARURI KABETE GITHIGA IKINU KINOO NDEIYA RIABAI SIGONA NYADHUNA UTHIRU TING'ANG'A",66.7,73.3,60.6,55.6,50,72.2,66.7,63.6,"B"
"175","KIAMBU","Kiambu TOWNSHIP","K- unity savings and credit cooperative society","Agri Based SACCO","Registered","CS/2275",28,"BIASHARA BIBIRIONI CHANIA CIANDA GATONG'ORA GATUANYAGA GITARU GITHIGA GITHOBOKONI GITHUNGURI IKINU JUJA KABETE KALIMONI Kiambu TOWNSHIP KIAMWANGI KIJABE KIHARA KIKUYU KINALE KINOO LIMURU CENTRAL LIMURU EAST KOMOTHAI LARI/KIRENGA NGEWA TING'ANG'A RIABAI",66.7,73.3,65.2,55.6,50,50,93.3,62.8,"B"
"176","KIAMBU","Kiambu TOWNSHIP","Kia-Wairera Sacco","Community Based SACCO","Registered","CS/2492",2,"Kiambu TOWNSHIP GITHUNGURI",66.7,73.3,59.1,33.3,50,66.7,73.3,60.1,"B"
"177","KIAMBU","Kiambu TOWNSHIP","Eden Presbyterian Sacco ltd","Faith Based SACCO","Registered","Cs/22084",13,"CIANDA GITHIGA GITHUNGURI IKINU JUJA KAHAWA SUKARI Kiambu TOWNSHIP KIKUYU KINOO LIMURU CENTRAL NDUMBERI RIABAI TING'ANG'A",77.8,73.3,75.8,55.6,16.7,44.4,66.7,57,"B"
"178","KIAMBU","Kiambu TOWNSHIP","Eden Presbyterian Sacco ltd","Faith Based SACCO","Registered","Cs/22084",11,"Kiambu TOWNSHIP GITHIGA GITHUNGURI HOSPITAL IKINU JUJA NDUMBERI RIABAI Thika TOWNSHIP TING'ANG'A KARURI",77.8,46.7,69.7,55.6,16.7,61.1,66.7,55,"B"
"179","KIAMBU","Kiambu TOWNSHIP","Metropolitan national savings and credit cooperative society limited","Employer Based SACCO","Registered","CS/2628",15,"Thika TOWNSHIP LIMURU CENTRAL LIMURU EAST KIKUYU LARI/KIRENGA THETA NDUMBERI RIABAI Kiambu TOWNSHIP GITHUNGURI JUJA KABETE KIJABE KINALE TING'ANG'A",77.8,46.7,33.3,44.4,50,55.6,73.3,49.8,"C"
"180","KIAMBU","Kiambu TOWNSHIP","Sobba Sacco ltd","Community Based SACCO","Registered","CS/10794",4,"TING'ANG'A RIABAI NDUMBERI Kiambu TOWNSHIP",55.6,26.7,66.7,22.2,50,61.1,46.7,49.2,"C"
"181","KIAMBU","Kiambu TOWNSHIP","Unicaz Savings And Credit Co-Operative Society Limited","Other","Registered","CS15037",1,"Kiambu TOWNSHIP",55.6,46.7,45.5,11.1,0,66.7,40,38.9,"C"
"182","KIAMBU","Kiambu TOWNSHIP","Jukagi Sacco","Other","Registered","CS/3237",1,"Kiambu TOWNSHIP",77.8,53.3,48.5,11.1,16.7,44.4,20,37.8,"C"
"183","KIAMBU","Kiambu TOWNSHIP","Dimkes investment cooperative society","Other","Registered","Cs/17892",7,"GITHUNGURI KABETE Kiambu TOWNSHIP KIKUYU KARURI LIMURU CENTRAL LARI/KIRENGA",66.7,53.3,39.4,33.3,0,33.3,66.7,37.7,"C"
"184","KIAMBU","Kiambu TOWNSHIP","P.C.E.A Gathangari Parish Sacco","Faith Based SACCO","Registered","CS/21823",1,"Kiambu TOWNSHIP",77.8,40,42.4,11.1,0,50,40,35,"C"
"185","KIAMBU","Kiambu TOWNSHIP","Tikagi sacco","Transport SACCO","Registered","CS/10742",1,"Kiambu TOWNSHIP",55.6,13.3,47,11.1,16.7,50,46.7,34.1,"C"
"186","KIAMBU","Kiambu TOWNSHIP","Nakinduka matatu saving and  credit cooperative society limited","Transport SACCO","Registered","13176",3,"Kiambu TOWNSHIP GITHUNGURI LIMURU CENTRAL",55.6,13.3,48.5,11.1,16.7,5.6,53.3,26.2,"C"
"187","KIAMBU","Kiambu TOWNSHIP","Tikagi sacco","Transport SACCO","Registered","no  number given",2,"Kiambu TOWNSHIP TING'ANG'A",77.8,13.3,24.2,33.3,16.7,22.2,33.3,25.7,"C"
"188","KIAMBU","Kiambu TOWNSHIP","Ginseng Housing Cooperative  Society Limited","Community Based SACCO","Registered","CS/20172",1,"TING'ANG'A",55.6,13.3,43.9,33.3,0,16.7,0,22.2,"D"
"189","LARI","LARI/KIRENGA","Good faith sacco","Community Based SACCO","Registered","CS/9709",3,"LARI/KIRENGA KIJABE LIMURU CENTRAL",66.7,80,75.8,55.6,33.3,22.2,73.3,56.2,"B"
"190","LARI","LARI/KIRENGA","Lari/Kirenga ward community saving and credit cooperative society limited","Agri Based SACCO","Registered","CS/29099",1,"LARI/KIRENGA",38.9,46.7,54.5,0,0,0,0,21.5,"D"
"191","LARI","LARI/KIRENGA","LARI KIRENGA HUDUMA SAVINGS CREDIT SOCIETY LIMITED","Community Based SACCO","Registered","Cs/21892",1,"LARI/KIRENGA",77.8,13.3,15.2,22.2,16.7,0,0,14.5,"D"
"192","LIMURU","LIMURU CENTRAL","Kiatu Sacco","Employer Based SACCO","Registered","2863",5,"LIMURU CENTRAL LIMURU EAST BIBIRIONI NDEIYA NGECHA TIGONI",66.7,60,69.7,66.7,50,50,73.3,61.2,"B"
"193","LIMURU","LIMURU CENTRAL","ACK LIMURU TOWN PARISH SAVINGS AND CREDIT COOPERATIVE SOCIETY LTD","Faith Based SACCO","Registered","CS/11339",5,"LARI/KIRENGA LIMURU CENTRAL LIMURU EAST NDEIYA NGECHA TIGONI",55.6,73.3,75.8,44.4,50,33.3,73.3,58,"B"
"194","LIMURU","LIMURU CENTRAL","LIMURU DAIRY STAFF SACCO","Employer Based SACCO","Registered","CS/5102",3,"LIMURU CENTRAL LIMURU EAST NGECHA TIGONI",66.7,33.3,66.7,33.3,50,72.2,60,55.6,"B"
"195","LIMURU","LIMURU CENTRAL","LIMURU DAIRY AND COMMUNITY SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED","Agri Based SACCO","Registered","CS/18569",5,"LIMURU CENTRAL LIMURU EAST NDEIYA NGECHA TIGONI BIBIRIONI",88.9,53.3,72.7,22.2,33.3,55.6,53.3,53.3,"B"
"196","LIMURU","LIMURU CENTRAL","LIKANA ROUTE114/115 MATATU CO-OPERATIVE SOCIETY LIMITED","Transport SACCO","Registered","CS/8663",4,"GITARU KINOO LIMURU CENTRAL NGECHA TIGONI",55.6,33.3,51.5,44.4,66.7,61.1,46.7,51.8,"B"
"197","LIMURU","LIMURU CENTRAL","GRAFCO SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED","Community Based SACCO","Registered","CS/13764",4,"LIMURU EAST LIMURU CENTRAL NGECHA TIGONI NDEIYA",50,33.3,60.6,33.3,33.3,55.6,73.3,48.9,"C"
"198","LIMURU","LIMURU CENTRAL","LIMO COURIER SACCO","Transport SACCO","Registered","CS/20027",3,"LIMURU CENTRAL LIMURU EAST NDEIYA",77.8,40,60.6,33.3,33.3,38.9,66.7,47.3,"C"
"199","LIMURU","LIMURU CENTRAL","PAMOJA TWAJENGA COOPERATIVE SAVINGS AND CREDIT SOCIETY LIMITED","Employer Based SACCO","Registered","Cs/6309",1,"LIMURU CENTRAL",66.7,13.3,51.5,22.2,66.7,55.6,33.3,44.3,"C"
"200","LIMURU","LIMURU CENTRAL","Auto Spring Sacco","Employer Based SACCO","Registered","CS4239",5,"LIMURU CENTRAL LIMURU EAST NDEIYA NGECHA TIGONI KIKUYU",55.6,53.3,71.2,22.2,16.7,22.2,60,42.8,"C"
"201","LIMURU","LIMURU CENTRAL","Bumasutra savings and credit cooperative society limited","Transport SACCO","Registered","CS/19085",5,"LIMURU CENTRAL MUGUGA NDEIYA NGECHA TIGONI SIGONA",66.7,33.3,51.5,22.2,50,22.2,73.3,42.1,"C"
"202","LIMURU","LIMURU CENTRAL","Jinawili Sacco Ltd","Faith Based SACCO","Registered","CS/22397",8,"LIMURU CENTRAL LIMURU EAST NDEIYA MUGUGA MANG'U MWIKI NDUMBERI NGECHA TIGONI",77.8,46.7,39.4,22.2,0,61.1,53.3,40.2,"C"
"203","LIMURU","LIMURU CENTRAL","Likambu Sacco","Transport SACCO","Registered","CS /13139",7,"Kiambu TOWNSHIP KIKUYU LIMURU CENTRAL LIMURU EAST LARI/KIRENGA NDENDERU UTHIRU",44.4,33.3,57.6,33.3,16.7,33.3,53.3,39,"C"
"204","LIMURU","LIMURU CENTRAL","LIMURU TRADERS COOPERATIVE SAVINGS AND CREDIT SOCIETY LIMITED","Employer Based SACCO","Registered","CS/7057",3,"LIMURU CENTRAL LIMURU EAST NGECHA TIGONI",72.2,33.3,54.5,55.6,0,22.2,66.7,38.9,"C"
"205","LIMURU","LIMURU CENTRAL","TT& M Transport cooperative society","Transport SACCO","Registered","CS/23536",5,"LARI/KIRENGA LIMURU CENTRAL LIMURU EAST NDEIYA NGECHA TIGONI",55.6,33.3,63.6,22.2,16.7,38.9,26.7,38,"C"
"206","LIMURU","LIMURU CENTRAL","LINGANA SAVINGS AND CREDIT CO-OPERATIVE SOCIETY","Transport SACCO","Registered","CS/13234",3,"LIMURU CENTRAL LARI/KIRENGA BIBIRIONI",55.6,13.3,57.6,22.2,50,11.1,46.7,35.1,"C"
"207","LIMURU","LIMURU CENTRAL","Unicots Sacco Ltd","Community Based SACCO","Registered","Cs/20606",3,"LIMURU CENTRAL BIBIRIONI LIMURU EAST",77.8,13.3,48.5,22.2,0,44.4,33.3,31.9,"C"
"208","LIMURU","LIMURU CENTRAL","Limuru Ushindi and Community Sacco","Agri Based SACCO","Registered","CS/29485",2,"LIMURU CENTRAL LIMURU EAST",38.9,66.7,39.4,11.1,0,0,0,22.3,"D"
"209","LIMURU","LIMURU CENTRAL","Lord's Place Sacco","Community Based SACCO","Registered","CS/23327",3,"GITARU GITHIGA KIKUYU",66.7,33.3,33.3,11.1,16.7,0,0,19.8,"D"
"210","LIMURU","LIMURU CENTRAL","Bitinge Huduma Sacco","Community Based SACCO","Registered","247547",1,"BIBIRIONI",55.6,46.7,33.3,0,0,0,0,17.4,"D"
"211","LIMURU","LIMURU CENTRAL","P.C.E.A KAMANDURA","Faith Based SACCO","Registered","CS/3456",2,"LIMURU CENTRAL LIMURU EAST",55.6,26.7,6.1,0,16.7,0,53.3,16,"D"
"212","LIMURU","LIMURU CENTRAL","Mali boda boda Sacco","Transport SACCO","Registered","79519",4,"BIBIRIONI LIMURU CENTRAL LIMURU EAST NGECHA TIGONI",44.4,33.3,33.3,0,0,0,0,14.9,"D"
"213","LIMURU","LIMURU CENTRAL","EVERBEST/KAZANA SACCO","Transport SACCO","Registered","CS/1337",3,"LIMURU CENTRAL LIMURU EAST NDEIYA",44.4,13.3,6.1,11.1,0,0,53.3,12.3,"D"
"214","LIMURU","LIMURU CENTRAL","Limuru market traders sacco","Community Based SACCO","Registered","Cs20684",3,"LIMURU CENTRAL LIMURU EAST BIBIRIONI",61.1,46.7,6.1,0,0,0,0,11.4,"D"
"215","LIMURU","LIMURU CENTRAL","Pelings sacco","Community Based SACCO","Registered","Ghmg",4,"BIBIRIONI LIMURU CENTRAL LIMURU EAST NDEIYA",61.1,33.3,6.1,0,0,0,0,9.4,"D"
"216","LIMURU","LIMURU EAST","Karirana workers cooperative savings and credit society ltd","Employer Based SACCO","Registered","3946",1,"LIMURU EAST",66.7,53.3,63.6,33.3,50,38.9,73.3,52.6,"B"
"217","LIMURU","LIMURU EAST","Majanees saving and credit cooperative society limited","Agri Based SACCO","Registered","Cs2491",1,"LIMURU EAST",66.7,80,60.6,22.2,33.3,38.9,73.3,52.1,"B"
"218","LIMURU","LIMURU EAST","RISE & GLEAM SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED","Community Based SACCO","Registered","CS/25043",4,"LIMURU CENTRAL LIMURU EAST NDEIYA NGECHA TIGONI",66.7,60,63.6,33.3,33.3,22.2,53.3,45.7,"C"
"219","LIMURU","LIMURU EAST","Nyara cooperative savings and credit society ltd","Community Based SACCO","Registered","Cs/7196",1,"LIMURU EAST",55.6,53.3,24.2,11.1,16.7,44.4,33.3,32.4,"C"
"220","GATUNDU NORTH","MANG'U","GATHIMA TRAVELLERS SACCO","Transport SACCO","Registered","CS/13069",5,"BIASHARA MANG'U NDARUGU NGENDA Thika TOWNSHIP",55.6,13.3,45.5,11.1,66.7,33.3,40,37.2,"C"
"221","GATUNDU NORTH","MANG'U","Minas sacco","Community Based SACCO","Registered","Cs/24515",3,"CHANIA MANG'U GITHOBOKONI",72.2,60,33.3,33.3,16.7,0,33.3,30.1,"C"
"222","GATUNDU NORTH","MANG'U","MANGU PROGRESSIVE SAVINGS AND CREDIT SACCO","Agri Based SACCO","Registered","CS/28282",4,"MANG'U CHANIA GITHOBOKONI GITUAMBA",55.6,40,24.2,33.3,16.7,16.7,26.7,26.9,"C"
"223","GATUNDU NORTH","MANG'U","ECONS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED","Community Based SACCO","Registered","CS/24283",1,"MANG'U",66.7,53.3,39.4,22.2,16.7,0,0,25.6,"C"
"224","GATUNDU NORTH","MANG'U","GATUNDU NORTH BODABODA SAVINGS AND CREDIT COOPERATIVE SOCIETY LTD","Transport SACCO","Registered","CS/25823",4,"CHANIA GITHOBOKONI GITUAMBA MANG'U",66.7,33.3,33.3,11.1,0,0,0,17.3,"D"
"225","KIAMBAA","MUCHATHA","Jijenge H Sacco","Community Based SACCO","Registered","CS/19016",1,"MUCHATHA",77.8,53.3,66.7,22.2,16.7,27.8,26.7,40.6,"C"
"226","KIAMBAA","MUCHATHA","ACK MUONGOIYA PARISH SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED","Faith Based SACCO","Registered","CS/11640",1,"MUCHATHA",55.6,33.3,74.2,22.2,0,50,6.7,38.2,"C"
"227","KIAMBAA","MUCHATHA","Muchatha ward transport Co-operative Society limited","Transport SACCO","Registered","CS/27015",1,"MUCHATHA",44.4,33.3,18.2,0,0,0,6.7,12.1,"D"
"228","KABETE","MUGUGA","Karawaz Boda Transcoop","Transport SACCO","Registered","CS/27053",3,"GATUANYAGA MUGUGA SIGONA",44.4,33.3,30.3,0,0,0,0,14.2,"D"
"229","JUJA","MURERA","Visho savings and credit cooperative society ltd","Community Based SACCO","Registered","CS/21977",3,"Kiambu TOWNSHIP MURERA JUJA",77.8,60,77.3,22.2,16.7,50,66.7,52.5,"B"
"230","RUIRU","MWIHOKO","Githurai Tuktuk and Maruti Savings and Credit Cooperative society ltd","Transport SACCO","Registered","CS/26649",3,"KIUU MWIKI MWIHOKO",55.6,40,48.5,44.4,0,11.1,53.3,32.8,"C"
"231","RUIRU","MWIHOKO","Together Mwihoko Sacco Society","Community Based SACCO","Registered","CS/21293",1,"MWIHOKO",72.2,33.3,21.2,0,0,33.3,40,24.2,"D"
"232","RUIRU","MWIKI","Kingdom sacco society limited","Community Based SACCO","Registered","Cs/9208",5,"MWIKI MWIHOKO GITOTHUA BIASHARA GATONG'ORA",66.7,86.7,90.9,44.4,66.7,61.1,86.7,73.5,"B"
"233","RUIRU","MWIKI","Anaweza sacco society limited","Faith Based SACCO","Registered","Cs/11193",2,"KIKUYU MURERA",66.7,73.3,84.8,44.4,66.7,55.6,73.3,67.6,"B"
"234","RUIRU","MWIKI","Expin sacco society limited","Community Based SACCO","Registered","Cs/18125",2,"MWIHOKO MWIKI",88.9,46.7,78.8,22.2,83.3,5.6,66.7,52.5,"B"
"235","RUIRU","MWIKI","Elite Age Comfort sacco ltd","Employer Based SACCO","Registered","Cs/28154",1,"MWIKI",66.7,66.7,48.5,22.2,0,33.3,33.3,37.2,"C"
"236","RUIRU","MWIKI","Unitra trucks sacco society limited","Transport SACCO","Registered","Cs/19632",1,"MWIKI",88.9,13.3,72.7,22.2,16.7,16.7,53.3,37,"C"
"237","RUIRU","MWIKI","Suoerhighway 45 travellers sacco society limited","Transport SACCO","Registered","Cs/13168",1,"MWIKI",55.6,13.3,25.8,0,83.3,38.9,53.3,36.3,"C"
